# ID Naïve Ours Reduction
62a846fd7744477726438014 7516 15 0.998004258
62a844f177444777264376fd 17153 32 0.998134437
62a84640d6a8bd0ea05785af 18085 54 0.9970141
62a84702d6a8bd0ea05787d2 16650 26 0.998438438
62a84cfd9363fc9f2819ee17 18221 31 0.998298666
62a84e3f9363fc9f2819f348 8079 17 0.997895779
62a8469d7744477726437e41 16556 26 0.998429572
62a84503774447772643774f 18288 31 0.998304899
62a872ee9363fc9f281b0bee 15260 20 0.998689384
62a84e259363fc9f2819f2d1 18453 27 0.998536823
62a8453c7744477726437851 7003 14 0.998000857
62a846d67744477726437f62 16302 43 0.997362287
62a847757744477726438228 7698 15 0.998051442
62a84763d6a8bd0ea0578908 16205 28 0.998272138
62a84ddb9363fc9f2819f1ab 15781 27 0.998289082
62a8452577444777264377fb 16204 14 0.999136016
62a845f87744477726437b98 16279 27 0.998341421
62a84e579363fc9f2819f3bd 7691 14 0.998179691
62a848e27744477726438781 23567 59 0.997496499
62a84502774447772643774d 14251 23 0.998386078
62a84d709363fc9f2819efdf 8581 31 0.996387367
62a845767744477726437967 16309 35 0.997853946
62a8472877444777264380c4 16310 27 0.998344574
62a845c17744477726437a72 10871 13 0.998804158
62a846157744477726437c04 14441 29 0.997991829
62a846d07744477726437f44 18318 45 0.9975434
62a84d379363fc9f2819eed6 17469 27 0.998454405
62a8466c7744477726437d50 11314 97 0.991426551
62a84ba69363fc9f2819e8af 16294 33 0.997974715
62a846a47744477726437e72 16935 15 0.99911426
62a84ea99363fc9f2819f548 16126 39 0.997581545
62a8455a77444777264378f2 16276 41 0.997480954
62a846ff7744477726438020 7950 15 0.998113208
62a845fcd6a8bd0ea05784f5 16793 42 0.997498958
62a846567744477726437d07 18175 31 0.99829436
62a84dba9363fc9f2819f11a 16280 36 0.997788698
62a88a68e30161692b6764e8 3408 7 0.997946009
62a847017744477726438026 16714 17 0.998982889
62a8452377444777264377cd 16656 29 0.998258886
62a84dc79363fc9f2819f165 18531 26 0.998596946
62a85fc39363fc9f281a4cc2 8459 17 0.997990306
62a855559363fc9f281a1823 9339 27 0.997108898
62a85ea79363fc9f281a46dc 19504 98 0.99497539
62a85f719363fc9f281a4ac3 20781 28 0.998652615
62a853f99363fc9f281a10ab 9620 55 0.994282744
62a851c69363fc9f281a03ea 292 8 0.97260274
62a85a209363fc9f281a2eba 7935 15 0.998109641
62a850279363fc9f2819fbb5 16112 47 0.99708292
62a851eb9363fc9f281a04dc 217 6 0.97235023
62a8500e9363fc9f2819fb4e 4237 3 0.999291952
62a853789363fc9f281a0e2b 16174 27 0.998330654
62a85c409363fc9f281a39ca 16002 30 0.998125234
62a855d69363fc9f281a1a22 15898 28 0.998238772
62a859709363fc9f281a2b78 15991 30 0.998123945
62a853c99363fc9f281a0fc7 16132 43 0.99733449
62a8528d9363fc9f281a08ef 463 8 0.982721382
62a85e209363fc9f281a43ba 18404 26 0.998587264
62a8560a9363fc9f281a1b36 353 8 0.97733711
62a8545f9363fc9f281a1337 16253 16 0.999015566
62a854289363fc9f281a11bb 16391 37 0.997742664
62a85cd39363fc9f281a3ccf 408 3 0.992647059
62a852ef9363fc9f281a0b4e 19041 26 0.998634525
62a85c2f9363fc9f281a3968 34287 38 0.998891708
62a857609363fc9f281a2167 7682 29 0.996224941
62a856989363fc9f281a1dc3 10231 15 0.998533868
62a858329363fc9f281a2519 18912 15 0.999206853
62a859ae9363fc9f281a2cab 16042 29 0.998192245
62a85a829363fc9f281a30c2 16510 80 0.995154452
62a850729363fc9f2819fcfb 8008 14 0.998251748
62a855919363fc9f281a1924 258 4 0.984496124
62a854c79363fc9f281a156d 16236 58 0.996427692
62a858659363fc9f281a2619 7717 88 0.988596605
62a8507d9363fc9f2819fd2d 18836 48 0.997451688
62a854959363fc9f281a145d 475 5 0.989473684
62a8545b9363fc9f281a1316 209 4 0.980861244
62a852299363fc9f281a065b 14185 36 0.997462108
62a856139363fc9f281a1b6b 19050 48 0.997480315
62a884e4e30161692b67479d 6470 7 0.998918083
62a85af19363fc9f281a3321 20294 21 0.998965211
62a850c89363fc9f2819fea8 353 8 0.97733711
62a84e27e30161692b660ecf 5833 27 0.995371164
62a85bae9363fc9f281a36c4 7689 15 0.998049161
62a84ec79363fc9f2819f5b9 327 3 0.990825688
62a85d709363fc9f281a401f 17792 26 0.998538669
62a84f029363fc9f2819f6a8 22247 26 0.998831303
62a854d59363fc9f281a15a8 13487 45 0.996663454
62a85c439363fc9f281a39d2 20769 97 0.995329578
62a859819363fc9f281a2bc7 7976 15 0.998119358
62a85b2a9363fc9f281a342f 9613 21 0.997815458
62a851d49363fc9f281a0414 212 6 0.971698113
62a85df19363fc9f281a42c7 16368 48 0.997067449
62a85b519363fc9f281a34cd 7936 26 0.99672379
62a856909363fc9f281a1d95 15970 49 0.996931747
62a852a89363fc9f281a09bb 353 8 0.97733711
62a85b419363fc9f281a347a 9080 15 0.998348018
62a85c839363fc9f281a3b22 49363 40 0.999189676
62a863dee30161692b6696fd 8308 22 0.99735195
62a85f5c9363fc9f281a4a59 18549 27 0.998544396
62a854599363fc9f281a130c 18508 26 0.998595202
62a85c439363fc9f281a39d0 16322 33 0.997978189
62a851f39363fc9f281a050a 217 6 0.97235023
62a86fdee30161692b66d762 6629 11 0.998340625
62a8554d9363fc9f281a17e9 18040 30 0.998337029
62a856899363fc9f281a1d7a 16498 35 0.997878531
62a855099363fc9f281a16bc 17362 57 0.996716968
62a85f9f9363fc9f281a4bde 14895 42 0.997180262
62a852339363fc9f281a06a2 194 4 0.979381443
62a85dd19363fc9f281a423a 18036 64 0.996451541
62a853219363fc9f281a0c76 16087 15 0.99906757
62a859029363fc9f281a298d 8912 48 0.994614004
62a857b19363fc9f281a22c7 10083 16 0.998413171
62a858ff9363fc9f281a2972 17943 18 0.998996823
62a855db9363fc9f281a1a36 353 8 0.97733711
62a85f799363fc9f281a4af4 45789 19 0.999585053
62a85ab19363fc9f281a31cb 15811 16 0.998988046
62a852e29363fc9f281a0aee 9542 13 0.998637602
62a85c099363fc9f281a38a9 16281 36 0.997788834
62a858739363fc9f281a264c 20145 75 0.996276992
62a85b009363fc9f281a3367 8103 30 0.996297668
62a85ee39363fc9f281a4816 8445 15 0.998223801
62a863dc9363fc9f281a731b 8055 13 0.998386096
62a87c499363fc9f281b56d6 9485 14 0.998523985
62a879989363fc9f281b40e2 4815 16 0.996677051
62a86d299363fc9f281ad467 5963 31 0.994801275
62a8a806e30161692b684027 14430 21 0.998544699
62a85b1ae30161692b665870 5039 29 0.99424489
62a8a383e30161692b681d14 6937 18 0.997405218
62a88fae9363fc9f281bfc87 5963 25 0.995807479
62a8aa09e30161692b684e0d 8078 23 0.997152761
62a898d9e30161692b67c8cc 5963 14 0.997652188
62a8900c9363fc9f281bfee4 8123 21 0.997414748
62a872679363fc9f281b074d 3535 13 0.996322489
62a8aaa1e30161692b6852de 5833 19 0.996742671
62a8b40ae30161692b68a181 5835 19 0.996743787
62a864459363fc9f281a78c7 5833 17 0.997085548
62a895b4e30161692b67b421 5833 17 0.997085548
62a87ced9363fc9f281b5c58 6890 16 0.997677794
62a89b2fe30161692b67dcdc 5833 19 0.996742671
62a897099363fc9f281c3c10 8459 16 0.998108523
62a896889363fc9f281c3633 8348 15 0.998203162
62a8b59fe30161692b68af36 7658 36 0.995299034
62a86c909363fc9f281acd9d 16272 27 0.998340708
62a8aed0e30161692b68787c 28735 26 0.99909518
62a889cbe30161692b676177 16772 15 0.999105652
62a87298e30161692b66e725 12551 30 0.997609752
62a866e5e30161692b66a72b 5173 20 0.996133772
62a8bfe7e30161692b68f3ba 5833 27 0.995371164
62a8805c9363fc9f281b799c 8423 17 0.997981717
62a888129363fc9f281bc097 4651 16 0.99655988
62a88356e30161692b673f18 5833 15 0.997428424
62a889239363fc9f281bc977 19985 38 0.998098574
62a875839363fc9f281b20e5 10655 25 0.997653684
62a8b6bbe30161692b68b7c2 8958 19 0.997878991
62a86a739363fc9f281ab722 5963 17 0.997149086
62a889f39363fc9f281bd1c0 18620 100 0.994629431
62a88eab9363fc9f281bf607 4863 13 0.997326753
62a8b6c8e30161692b68b820 8862 56 0.993680885
62a8b03de30161692b688347 5833 23 0.996056918
62a873989363fc9f281b118a 18352 38 0.997929381
62a852b1e30161692b6627a7 14479 16 0.998894951
62a85cd9e30161692b6661ce 9407 34 0.99638567
62a8b8cee30161692b68c3f2 6807 14 0.997943294
62a86c3e9363fc9f281ac9bf 4190 20 0.99522673
62a8a7b9e30161692b683df2 6937 14 0.997981837
62a93f2f1e89b3f4f2c0392d 57683 37 0.999358563
62a881999363fc9f281b8576 15308 76 0.995035276
62a87a0b9363fc9f281b4434 5963 18 0.996981385
62a871c99363fc9f281b01f7 8215 30 0.996348144
62a870699363fc9f281af476 12929 26 0.997989017
62a8b5e2e30161692b68b124 5833 21 0.996399794
62a88e229363fc9f281bf125 5833 17 0.997085548
62a8a4d9e30161692b682b31 30470 24 0.99921234
62a8be14e30161692b68e85e 4807 16 0.996671521
62a894399363fc9f281c1eb3 4781 15 0.996862581
62a86146e30161692b668616 8459 38 0.995507743
62a8bc47e30161692b68dd54 5963 16 0.997316787
62a87ff19363fc9f281b76b3 15953 45 0.997179214
62a89dcde30161692b67f323 5833 16 0.997256986
62a873e29363fc9f281b1405 9554 21 0.997801968
62a86ed29363fc9f281ae2dd 7934 22 0.997227124
62a8a877e30161692b684360 5963 17 0.997149086
62a89282e30161692b679934 7404 16 0.997839006
62a9440de4d30af0fb904ae6 11816 38 0.996784022
62a87049e30161692b66d9af 4651 16 0.99655988
62a86b21e30161692b66beb9 2827 13 0.995401486
62a870319363fc9f281af103 4375 13 0.997028571
62a866849363fc9f281a919f 5963 20 0.996645984
62a887499363fc9f281bb9f4 5963 19 0.996813684
62a865bf9363fc9f281a8a42 5833 29 0.995028287
